Anlieferungsdatum,Gewicht in Tonnen
2020-08-17 00:00:00+00:00,2261.52
2020-08-18 00:00:00+00:00,2129.84
2020-08-19 00:00:00+00:00,1797.12
2020-08-20 00:00:00+00:00,1758.42
2020-08-21 00:00:00+00:00,1401.24
2020-08-22 00:00:00+00:00,1424.6266666666668
2020-08-23 00:00:00+00:00,1448.0133333333333
2020-08-24 00:00:00+00:00,1471.4
2020-08-25 00:00:00+00:00,1780.26
2020-08-26 00:00:00+00:00,1608.74
2020-08-27 00:00:00+00:00,1926.46
2020-08-28 00:00:00+00:00,1136.61
2020-08-29 00:00:00+00:00,1071.54
2020-08-30 00:00:00+00:00,1006.4699999999999
2020-08-31 00:00:00+00:00,941.4
2020-09-01 00:00:00+00:00,1233.66
2020-09-02 00:00:00+00:00,1316.8600000000001
2020-09-03 00:00:00+00:00,1802.9
2020-09-04 00:00:00+00:00,1702.0
2020-09-05 00:00:00+00:00,854.68
2020-09-06 00:00:00+00:00,7.36
2020-09-07 00:00:00+00:00,1883.42
2020-09-08 00:00:00+00:00,1669.3
2020-09-09 00:00:00+00:00,1985.68
2020-09-10 00:00:00+00:00,1019.76
2020-09-11 00:00:00+00:00,1599.36
2020-09-12 00:00:00+00:00,1263.6933333333332
2020-09-13 00:00:00+00:00,928.0266666666666
2020-09-14 00:00:00+00:00,592.36
